COMPANY_ABBR_EN,STOCK_TYPE,LIST_BOARD,COMPANY_ABBR,A_STOCK_CODE,AREA_NAME,DELIST_DATE,NUM,SEC_NAME_CN,AREA_NAME_DESC,FULL_NAME_IN_ENGLISH,SEC_NAME_FULL,STATE_CODE,B_STOCK_CODE,STATE_CODE_STOCK,LIST_DATE,CSRC_CODE,PRODUCT_STATUS,CSRC_CODE_DESC,COMPANY_CODE,FULL_NAME
CANATAL,1,1,佳力图,603912,320000,-,1531,XD佳力图,江苏省,"Nanjing Canatal Data-Centre Environmental Tech Co.,Ltd",XD佳力图,2,-,4,20171101,C,  RD  F  N          ,制造业,603912,南京佳力图机房环境技术股份有限公司
GUOMAO REDUCER,1,1,国茂股份,603915,320000,-,1532,国茂股份,江苏省,"Jiangsu Guomao Reducer Co.,Ltd.",国茂股份,2,-,4,20190614,C,   D  F  N          ,制造业,603915,江苏国茂减速机股份有限公司
SBT,1,1,苏博特,603916,320000,-,1533,苏博特,江苏省,"Sobute New Materials Co., Ltd",苏博特,2,-,4,20171110,C,   D  F  N          ,制造业,603916,江苏苏博特新材料股份有限公司
HELI TECHNOLOGY,1,1,合力科技,603917,330000,-,1534,XD合力科,浙江省,"Ningbo Heli Technology Co., Ltd.",XD合力科技,2,-,4,20171204,C,  RD  F  N          ,制造业,603917,宁波合力科技股份有限公司
SHGBIT,1,1,金桥信息,603918,310000,-,1535,金桥信息,上海市,"Shanghai Golden Bridge InfoTech Co., Ltd",金桥信息,2,-,4,20150528,I,   D  F  N          ,信息传输、软件和信息技术服务业,603918,上海金桥信息股份有限公司
JINHUI,1,1,金徽酒,603919,620000,-,1536,金徽酒,甘肃省,"Jinhui Liquor Co.,Ltd.",金徽酒,2,-,4,20160310,C,   D  F  N          ,制造业,603919,金徽酒股份有限公司
OLYMPIC,1,1,世运电路,603920,440000,-,1537,世运电路,广东省,"Olympic Circuit Technology Co.,Ltd",世运电路,2,-,4,20170426,C,   D  F  N          ,制造业,603920,广东世运电路科技股份有限公司
JHS,1,1,金鸿顺,603922,320000,-,1538,金鸿顺,江苏省,"SUZHOU JINHONGSHUN AUTO PARTS CO., LTD.",金鸿顺,2,-,4,20171023,C,   D  F  N          ,制造业,603922,苏州金鸿顺汽车部件股份有限公司
TIELIU,1,1,铁流股份,603926,330000,-,1539,铁流股份,浙江省,"TIELIU CO.,LTD.",铁流股份,2,-,4,20170510,C,   D  F  N          ,制造业,603926,铁流股份有限公司
SINOSOFT,1,1,中科软,603927,110000,-,1540,中科软,北京市,"Sinosoft Co., Ltd",中科软,2,-,4,20190909,I,   D  F  N          ,信息传输、软件和信息技术服务业,603927,中科软科技股份有限公司
XINGYE,1,1,兴业股份,603928,320000,-,1541,兴业股份,江苏省,"Suzhou Xingye Materials Technology Co., Ltd.",兴业股份,2,-,4,20161212,C,   D  F  N          ,制造业,603928,苏州兴业材料科技股份有限公司
L&K,1,1,亚翔集成,603929,320000,-,1542,亚翔集成,江苏省,"L&K Engineering (Suzhou) Co.,Ltd.",亚翔集成,2,-,4,20161230,E,   D  F  N          ,建筑业,603929,亚翔系统集成科技(苏州)股份有限公司
GREENDA,1,1,格林达,603931,330000,-,1543,格林达,浙江省,"HANGZHOU GREENDA ELECTRONIC MATERIALS CO., LTD",格林达,2,-,4,20200819,C,   D  F  N          ,制造业,603931,杭州格林达电子材料股份有限公司
RAYNEN,1,1,睿能科技,603933,350000,-,1544,睿能科技,福建省,"Fujian Raynen Technology Co.,Ltd",睿能科技,2,-,4,20170706,C,   D  F  N          ,制造业,603933,福建睿能科技股份有限公司
BOMIN ELECTRONICS,1,1,博敏电子,603936,440000,-,1545,博敏电子,广东省,"Bomin Electronics Co.,Ltd.",博敏电子,2,-,4,20151209,C,   D  F  N          ,制造业,603936,博敏电子股份有限公司
LDXC,1,1,丽岛新材,603937,320000,-,1546,丽岛新材,江苏省,"Jiangsu Lidao New Material Co., Ltd.",丽岛新材,2,-,4,20171102,C,   D  F  N          ,制造业,603937,江苏丽岛新材料股份有限公司
SUNFAR,1,1,三孚股份,603938,130000,-,1547,三孚股份,河北省,"Tangshan Sunfar Silicon Industries Co.,Ltd.",三孚股份,2,-,4,20170628,C,   D  F  N          ,制造业,603938,唐山三孚硅业股份有限公司
YIFENG PHARMACY,1,1,益丰药房,603939,430000,-,1548,益丰药房,湖南省,"Yifeng Pharmacy Chain Co., Ltd.",益丰药房,2,-,4,20150217,F,   D  F  N          ,批发和零售业,603939,益丰大药房连锁股份有限公司
JIANYE CHEMICAL,1,1,建业股份,603948,330000,-,1549,建业股份,浙江省,"Zhejiang Jianye Chemical Co., Ltd.",建业股份,2,-,4,20200302,C,   D  F  N          ,制造业,603948,浙江建业化工股份有限公司
XUELONG,1,1,雪龙集团,603949,330000,-,1550,雪龙集团,浙江省,"XUELONG GROUP CO., LTD",雪龙集团,2,-,4,20200310,C,   D  F  N          ,制造业,603949,雪龙集团股份有限公司
CYDG,1,1,长源东谷,603950,420000,-,1551,长源东谷,湖北省,"Xiangyang Changyuandonggu Industry Co.,Ltd.",长源东谷,2,-,4,20200526,C,   D  F  N          ,制造业,603950,襄阳长源东谷实业股份有限公司
DAQIAN,1,1,XD大千生,603955,320000,-,1552,大千生态,江苏省,"Daqian Ecology & Environment Group Co., Ltd.",大千生态,2,-,4,20170310,E,   D  F  N          ,建筑业,603955,大千生态环境集团股份有限公司
